Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
0,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.012,40.013
1.561e-20,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.012,40.013
1.561e-20,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.012,40.013
2.1293e-15,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.013,40.013
2.1293e-15,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.013,40.013
4.2586e-15,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.013,40.013
4.2586e-15,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.013,40.013
3.9205e-14,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.013,40.013
3.9205e-14,0.1,2130,141.88,100,5.05,3,12,5,0.000951,0.097092,72,4.9081,15.013,40.013
0.00092729,0.1,2130,141.88,100.04,5.051,3,12,5,0.00095094,0.10056,72.011,4.9111,15.012,40.012
0.0018495,0.1,2130,141.88,100.07,5.0517,3,12,5,0.00095088,0.10397,72.017,4.9142,15.012,40.012
0.0064606,0.1,2130,141.88,100.24,5.0513,3,12,5,0.00095057,0.12019,72.024,4.9288,15.012,40.012
0.008887,0.1,2130,141.88,100.32,5.0491,3.0001,12,5.0001,0.0009504,0.12804,72.022,4.9362,15.012,40.012
0.015922,0.1,2130,141.88,100.52,5.0385,3.0001,12,5.0001,0.00094989,0.14747,72.008,4.9552,15.012,40.012
0.022956,0.1,2130,141.88,100.65,5.025,3.0001,12,5.0001,0.00094936,0.16168,71.984,4.9705,15.012,40.012
0.032173,0.1,2130,141.88,100.75,5.0074,3.0002,12,5.0002,0.00094862,0.17282,71.945,4.985,15.012,40.012
0.04139,0.1,2130,141.88,100.78,4.992,3.0002,12,5.0002,0.00094782,0.17676,71.902,4.994,15.012,40.012
0.054051,0.1,2130,141.88,100.73,4.976,3.0003,12,5.0003,0.00094665,0.17354,71.847,4.9995,15.012,40.012
0.070193,0.1,2130,141.88,100.59,4.9637,3.0003,12,5.0003,0.00094505,0.1606,71.798,4.9992,15.012,40.012
0.094261,0.1,2130,141.88,100.35,4.9586,3.0004,11.999,5.0004,0.00094247,0.13486,71.772,4.9931,15.012,40.012
0.13116,0.1,2130,141.88,100.07,4.9674,3.0006,11.999,5.0006,0.00093826,0.10017,71.824,4.9874,15.012,40.012
0.16806,0.1,2130,141.88,99.92,4.9835,3.0008,11.999,5.0008,0.00093389,0.078283,71.933,4.9931,15.012,40.012
0.20496,0.1,2130,141.88,99.835,5,3.0009,11.999,5.0009,0.00092946,0.064896,72.059,5.0072,15.012,40.012
0.23403,0.1,2130,141.88,99.772,5.0125,3.001,11.999,5.001,0.00092594,0.056457,72.161,5.0206,15.012,40.012
0.23403,0.1,2130,141.88,99.772,5.0125,3.001,11.999,5.001,0.00092594,0.056457,72.161,5.0206,15.012,40.012
0.23403,0.1,2130,141.88,99.772,5.0125,3.001,11.999,5.001,0.00092594,0.056457,72.161,5.0206,15.012,40.012
0.28799,0.1,2130,141.89,99.638,5.0359,3.0011,11.999,5.0011,0.00091934,0.041899,72.361,5.0452,15.012,40.012
0.34196,0.1,2130,141.89,99.506,5.06,3.0011,11.999,5.0011,0.0009127,0.03029,72.574,5.0677,15.012,40.013
0.39592,0.1,2130,141.89,99.413,5.0834,3.0011,11.998,5.0011,0.00090604,0.02989,72.783,5.0877,15.012,40.013
0.42007,0.1,2130,141.89,99.39,5.0932,3.0011,11.999,5.0011,0.00090307,0.029891,72.87,5.0958,15.012,40.013
0.46294,0.1,2130,141.89,99.376,5.1084,3.001,11.999,5.001,0.00089782,0.029891,73.003,5.1081,15.012,40.013
0.49557,0.1,2130,141.89,99.39,5.1179,3.0009,11.999,5.0009,0.00089384,0.03442,73.084,5.1154,15.012,40.013
0.53941,0.1,2130,141.89,99.439,5.1275,3.0008,11.999,5.0008,0.00088854,0.045532,73.158,5.1221,15.012,40.013
0.58326,0.1,2130,141.89,99.52,5.133,3.0007,11.999,5.0007,0.00088328,0.059751,73.187,5.1253,15.012,40.013
0.62323,0.1,2130,141.89,99.616,5.1344,3.0006,11.999,5.0006,0.00087853,0.074522,73.175,5.1251,15.012,40.013
0.62323,0.1,2130,141.89,99.616,5.1344,3.0006,11.999,5.0006,0.00087853,0.074522,73.175,5.1251,15.012,40.013
0.66708,0.1,2130,141.89,99.74,5.1323,3.0005,11.999,5.0005,0.00087337,0.091653,73.119,5.1217,15.012,40.013
0.71093,0.1,2130,141.89,99.874,5.1267,3.0004,11.999,5.0004,0.00086823,0.10865,73.024,5.1156,15.012,40.013
0.76661,0.1,2130,141.89,100.05,5.1156,3.0003,11.999,5.0003,0.00086175,0.12842,72.857,5.1048,15.012,40.013
0.84535,0.1,2130,141.89,100.27,5.0956,3.0002,11.999,5.0002,0.0008526,0.1501,72.568,5.0866,15.012,40.013
0.89764,0.1,2130,141.89,100.38,5.0813,3.0002,11.999,5.0002,0.00084651,0.15934,72.363,5.0741,15.012,40.013
0.94534,0.1,2130,141.89,100.47,5.0689,3.0002,11.999,5.0002,0.00084093,0.16379,72.182,5.0636,15.011,40.013
0.94534,0.1,2130,141.89,100.47,5.0689,3.0002,11.999,5.0002,0.00084093,0.16379,72.182,5.0636,15.011,40.013
0.99763,0.1,2130,141.89,100.53,5.0569,3.0003,11.999,5.0003,0.00083483,0.16444,72.002,5.0539,15.011,40.012
1.0499,0.1,2130,141.89,100.56,5.0474,3.0004,11.998,5.0004,0.00082878,0.16097,71.85,5.0465,15.011,40.012
1.1022,0.1,2130,141.89,100.56,5.041,3.0006,11.998,5.0006,0.00082275,0.154,71.734,5.042,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
1.1411,0.1,2130,141.89,100.54,5.0383,3.0007,11.998,5.0007,0.00081827,0.14698,71.672,5.0406,15.011,40.012
