Time,NID,NAE,CNA,PA,QLO,VP,VTS,VB,TVD,NOD,HR,QAO,VEC,VTW
1,0.1,2130,141.89,100.5313602448823,5.056469255787258,3.000304534149608,11.99895465850392,5.000304534149608,0.0008345556839487277,0.1642826650086091,71.99510809259613,5.053564472929022,15.011,40.012
1441,0.1,2130.9,142.0995219123506,99.98395219123506,5.0709,3.0008,11.98304780876494,5.0009,0.001011990438247012,0.1006114342629482,72.26690438247012,5.0709,14.997,39.98004780876494
2881,0.1,2130.5,142.05,99.9688448275862,5.0701,3.0007,11.985,5.0009,0.001008484482758621,0.1005884482758621,72.244,5.0701,14.998,39.989
4321,0.1,2130.273872679045,142.0373872679045,99.95273872679046,5.0698,3.0006,11.985,5.0008,0.001006473872679045,0.1004073872679045,72.23273872679046,5.0698,14.998,39.992
5761,0.1,2130.1,142.03,99.9406326259947,5.0697,3.0006,11.985,5.0009,0.0010055,0.1003,72.22199999999999,5.0697,14.998,39.993
7201,0.1,2130.1,142.03,99.93152652519893,5.0697,3.0006,11.984,5.0009,0.001005,0.10024,72.21252652519894,5.0697,14.998,39.993
8641,0.1,2130,142.03,99.925,5.0697,3.0006,11.984,5.000958034528552,0.0010046,0.1002,72.20441965471447,5.0697,14.997,39.993
10081,0.1,2130,142.03,99.92100000000001,5.0697,3.0007,11.984,5.001,0.0010043,0.10017,72.19799999999999,5.0697,14.997,39.993
11521,0.1,2130,142.03,99.919,5.0698,3.0007,11.984,5.001,0.001004,0.10015,72.19221052631579,5.0698,14.997,39.992
12961,0.1,2130,142.03,99.919,5.06988947368421,3.0007,11.984,5.0011,0.0010038,0.10013,72.188,5.06988947368421,14.997,39.992
14401,0.1,2130,142.03,99.92,5.0699,3.0008,11.984,5.0011,0.0010036,0.10012,72.185,5.0699,14.997,39.992
15841,0.1,2130,142.03,99.922,5.07,3.0008,11.984,5.0012,0.0010034,0.10011,72.182,5.07,14.997,39.992
17281,0.1,2130,142.03,99.925,5.07017,3.0008,11.983,5.0012,0.0010032,0.1001,72.18000000000001,5.07017,14.997,39.992
18721,0.1,2129.9,142.03,99.928,5.0703,3.0009,11.983,5.0013,0.001003,0.10009,72.178,5.0703,14.997,39.992
20160,0.1,2129.9,142.03,99.932,5.0704,3.0009,11.983,5.0013,0.0010029,0.10009,72.17700000000001,5.0704,14.997,39.992
20520,0.0208,2122.9,141.4989473684211,97.30447368421052,5.077157894736843,2.921357894736842,12.06942105263158,4.922194736842105,0.00080602,0.02761578947368421,79.63615789473684,5.077194736842105,15.0031052631579,40.08568421052632
20880,0.0208,2135.428571428571,138.7571428571428,86.53742857142858,4.890142857142857,2.440628571428571,12.93742857142857,4.448457142857142,0.0007553571428571429,0.01436742857142857,137.0271428571428,4.890242857142857,15.39028571428572,40.96071428571428
21240,0.0208,2157.492857142857,139.3835714285714,84.64842857142858,4.935857142857143,2.483864285714286,12.98321428571429,4.502671428571428,8.270707142857142e-005,0.01462014285714286,128.3478571428572,4.935878571428572,15.479,40.93864285714286
21600,0.0208,2174.878313253012,140.0718072289157,83.03632530120481,5.037501204819278,2.551607228915663,12.96332530120482,4.578942168674699,7.727190361445784e-005,0.016075,118.0144578313253,5.037501204819278,15.52667469879518,40.85748192771084
21960,0.0208,2144.114285714286,141.7421428571429,95.97428571428571,5.1914,3.202542857142857,11.91135714285714,5.234642857142857,0,0.6874971428571428,50.75792857142857,5.191778571428571,15.12628571428571,40.20721428571429
22320,0.0208,2093.975,141.2475,81.714625,5.0516125,2.5753,12.238125,4.607875,0.0069986625,0.022554,112.3725,5.051724999999999,14.825,39.8985
22680,0.0208,2113.826388888889,139.5768055555556,80.97384722222222,4.774051388888888,2.4413375,12.69068055555556,4.483743055555555,0.0003084984722222222,0.01363211111111111,126.26625,4.774051388888888,15.14475,40.57184722222222
23040,0.0208,2132.953333333333,140.1218888888889,79.60849999999999,4.841231111111111,2.490846666666667,12.71864444444445,4.542491111111111,0.0001953876666666667,0.01460805555555555,117.9601111111111,4.841298888888889,15.22183333333333,40.54677777777778
23400,0.0208,2147.898888888889,140.6154444444444,78.44093333333333,4.93303,2.546382222222222,12.71603333333333,4.605065555555556,0.0001871721111111111,0.01578086666666667,109.9671111111111,4.93303,15.27454444444444,40.50677777777778
23760,0.0208,2128.6,141.9933333333333,86.77666666666667,5.078133333333334,3.138,11.83966666666667,5.2008,4.144711111111111e-005,0.6068300000000001,48.31377777777777,5.078144444444445,14.99044444444444,40.02866666666667
24120,0.0208,2085.35,141.545,77.348,4.94,2.53675,12.184,4.5997,0.0073921,0.0214655,109.475,4.94025,14.7325,39.7465
24480,0.0208,2103.146774193548,140.0087096774193,77.39311290322581,4.717162903225806,2.450304838709678,12.55983870967742,4.521879032258065,0.0003053967741935483,0.01358632258064516,117.6074193548387,4.717162903225806,15.02175806451613,40.36996774193548
24840,0.0208,2119.931578947369,140.4627631578948,76.35873684210526,4.78886447368421,2.495613157894737,12.58409210526316,4.574959210526316,0.000230695,0.01452121052631579,110.6148684210526,4.788964473684211,15.09206578947368,40.35251315789473
25200,0.0208,2132.938157894737,140.868552631579,75.48688157894738,4.875509210526316,2.543297368421053,12.58559210526316,4.628646052631579,0.0002267403947368421,0.01554502631578947,104.1660526315789,4.875509210526316,15.14167105263158,40.32655263157895
