Time,VAS,VVS,CA,ANT,NAE,ANC,PRP,IFP,VG,CNA,VTS,HM,AUH,POT,ARM,CPP,PVS,BFN,BFM,PA,QLO,NID,AHM,AU,STH2NID,VP,VB,RBF,RFN,VUD,TVD,NOD,ANM,VGD,NID2,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,ANP,AUM,RR,GLP,PFL,VAE,RSN,QAO,VIF,VEC,VTW,NED
1,0.85209,3.263,0.00355,15,2130,0.99996,210,11.996,11.397,141.9,11.994,40,0.99396,7.9937,0.99701,69.903,3.753,2.7864,1.0263,100.59,5.0173,0.125,0.98711,0.97986,1.0252,3.0042,5.0042,1.204,1.204,0.0012817,0.00089305,0.12775,1.0042,-0.0037219,0.12815,71.372,0.070297,31.937,51.61,0.12634,94.355,0.72955,0.0070955,0.9901,0.98288,83.547,62.138,16.176,0.35709,34.754,5.0167,0.59706,15.011,40.012,0.00039906
1441,0.85276,3.274,0.00355,15,2130.5,0.98911,209,12.04,11.377,142.11,11.971,40,0.99489,7.9979,0.98148,69.459,3.7724,2.8344,1.0236,100.78,5.058,0.125,1.0223,0.98296,1.0084,3.009,5.009,1.2001,1.2001,0.0012209,0.0012329,0.12439,1.001,9.6924e-06,0.12604,71.521,0.070721,32.366,51.61,0.12614,94.768,0.7258,0.0073042,0.99985,0.98551,83.976,61.935,16.151,0.35776,34.224,5.058,0.59383,14.992,39.974,0.0016529
2881,0.85352,3.2738,0.00355,15,2131.2,0.98854,209.17,12.043,11.381,142.1,11.976,40,0.99563,7.9981,0.98268,69.5,3.7744,2.8377,1.0248,100.99,5.063,0.125,1.0224,0.98543,1.0077,3.0096,5.0097,1.2005,1.2005,0.0012315,0.001233,0.12585,1.0009,8.3774e-07,0.12597,71.62,0.070693,32.517,51.61,0.12618,94.86,0.72541,0.0072851,0.99883,0.98761,84.127,61.956,16.156,0.35852,34.259,5.063,0.59441,14.998,39.98,0.00011358
4321,0.85411,3.2734,0.00355,15,2131.4,0.9877,209.35,12.059,11.382,142.1,11.977,40,0.99648,7.9975,0.98296,69.562,3.7754,2.8401,1.0256,101.16,5.0666,0.125,1.0221,0.98828,1.0099,3.0095,5.0098,1.2009,1.2009,0.0012318,0.0012327,0.12617,1.0006,4.8063e-07,0.12623,71.733,0.070631,32.622,51.61,0.12617,94.951,0.72521,0.0072558,0.9977,0.99003,84.232,61.98,16.155,0.35911,34.288,5.0666,0.59466,14.999,39.982,6.0606e-05
5761,0.85458,3.2731,0.00355,15,2131.4,0.98688,209.5,12.074,11.383,142.1,11.978,40,0.99717,7.9971,0.98319,69.616,3.7762,2.842,1.0262,101.29,5.0695,0.125,1.0218,0.99058,1.0116,3.0094,5.0099,1.2013,1.2013,0.0012317,0.0012323,0.1264,1.0004,3.7484e-07,0.12645,71.824,0.070582,32.706,51.61,0.12616,95.023,0.72506,0.0072306,0.99673,0.99199,84.316,62,16.153,0.35958,34.312,5.0695,0.59484,15,39.983,4.4698e-05
7201,0.85496,3.2728,0.00355,15,2131.5,0.98615,209.63,12.088,11.383,142.1,11.978,40,0.99773,7.9968,0.98342,69.661,3.7769,2.8435,1.0267,101.4,5.0719,0.125,1.0216,0.99242,1.0129,3.0093,5.01,1.2016,1.2016,0.0012316,0.001232,0.12658,1.0002,2.9349e-07,0.12661,71.897,0.070544,32.772,51.61,0.12615,95.08,0.72494,0.0072092,0.99591,0.99356,84.382,62.017,16.152,0.35996,34.331,5.0719,0.59498,15,39.983,2.9686e-05
8641,0.85527,3.2726,0.00355,15,2131.5,0.98551,209.74,12.101,11.384,142.1,11.979,40,0.99817,7.9965,0.98364,69.7,3.7774,2.8448,1.0271,101.48,5.0738,0.125,1.0215,0.99388,1.0139,3.0091,5.01,1.2019,1.2019,0.0012314,0.0012318,0.12672,0.99999,2.2898e-07,0.12673,71.955,0.070515,32.824,51.61,0.12614,95.125,0.72484,0.0071909,0.99521,0.9948,84.434,62.031,16.151,0.36027,34.346,5.0738,0.59509,15,39.984,1.6795e-05
10081,0.85552,3.2724,0.00355,15,2131.5,0.98495,209.82,12.113,11.384,142.1,11.979,40,0.99851,7.9964,0.98385,69.734,3.7778,2.8458,1.0275,101.55,5.0755,0.125,1.0214,0.99505,1.0146,3.0089,5.01,1.2022,1.2022,0.0012313,0.0012315,0.12682,0.99983,1.7783e-07,0.12682,72,0.070493,32.866,51.61,0.12613,95.16,0.72476,0.0071751,0.9946,0.99579,84.476,62.044,16.15,0.36052,34.358,5.0755,0.59516,15.001,39.984,6.2954e-06
11521,0.85572,3.2722,0.00355,15,2131.5,0.98445,209.89,12.125,11.384,142.1,11.979,40,0.99879,7.9962,0.98405,69.763,3.7781,2.8467,1.0278,101.61,5.0769,0.125,1.0213,0.99597,1.0151,3.0087,5.01,1.2024,1.2024,0.0012311,0.0012313,0.12689,0.99968,1.3736e-07,0.12689,72.037,0.070476,32.899,51.61,0.12613,95.187,0.7247,0.0071614,0.99407,0.99658,84.509,62.055,16.15,0.36072,34.367,5.0769,0.59522,15.001,39.985,-2.0401e-06
12961,0.85589,3.2721,0.00355,15,2131.5,0.98401,209.95,12.135,11.384,142.1,11.98,40,0.99901,7.9961,0.98424,69.789,3.7783,2.8474,1.0281,101.66,5.078,0.125,1.0212,0.99671,1.0155,3.0084,5.01,1.2026,1.2026,0.001231,0.001231,0.12694,0.99956,1.0538e-07,0.12693,72.065,0.070464,32.925,51.61,0.12613,95.209,0.72465,0.0071494,0.9936,0.9972,84.535,62.065,16.149,0.36089,34.375,5.078,0.59525,15.001,39.985,-8.5577e-06
14401,0.85603,3.272,0.00355,15,2131.5,0.98361,210,12.146,11.385,142.1,11.98,40,0.99919,7.9961,0.98443,69.811,3.7785,2.848,1.0283,101.7,5.079,0.125,1.0212,0.99729,1.0157,3.0082,5.01,1.2027,1.2027,0.0012308,0.0012308,0.12698,0.99944,8.0177e-08,0.12696,72.088,0.070456,32.946,51.61,0.12612,95.226,0.72462,0.0071388,0.99319,0.9977,84.555,62.073,16.149,0.36103,34.382,5.079,0.59527,15,39.985,-1.3596e-05
15841,0.85614,3.272,0.00355,15,2131.5,0.98326,210.05,12.155,11.385,142.1,11.98,40,0.99933,7.996,0.98461,69.831,3.7787,2.8485,1.0285,101.73,5.0799,0.125,1.0211,0.99776,1.0158,3.0079,5.01,1.2029,1.2029,0.0012306,0.0012307,0.127,0.99934,6.0358e-08,0.12698,72.106,0.07045,32.962,51.61,0.12612,95.239,0.72459,0.0071294,0.99282,0.9981,84.572,62.081,16.148,0.36114,34.387,5.0799,0.59529,15,39.985,-1.7449e-05
17281,0.85624,3.2719,0.00355,15,2131.5,0.98294,210.08,12.164,11.385,142.1,11.98,40,0.99944,7.996,0.98479,69.849,3.7788,2.8489,1.0287,101.76,5.0806,0.125,1.0211,0.99813,1.0159,3.0076,5.01,1.203,1.203,0.0012305,0.0012305,0.12701,0.99924,4.4815e-08,0.12699,72.12,0.070446,32.975,51.61,0.12612,95.249,0.72457,0.0071209,0.99248,0.99841,84.585,62.088,16.148,0.36124,34.392,5.0806,0.59529,15,39.985,-2.0359e-05
18721,0.85632,3.2718,0.00355,15,2131.4,0.98264,210.11,12.173,11.385,142.1,11.98,40,0.99953,7.996,0.98496,69.865,3.7789,2.8493,1.0288,101.78,5.0812,0.125,1.0211,0.99843,1.0159,3.0074,5.01,1.2031,1.2031,0.0012304,0.0012303,0.12702,0.99916,3.2663e-08,0.12699,72.132,0.070444,32.986,51.61,0.12612,95.257,0.72455,0.0071133,0.99218,0.99866,84.596,62.094,16.148,0.36132,34.396,5.0812,0.59529,15,39.985,-2.2523e-05
20160,0.85639,3.2718,0.00355,15,2131.1,0.98272,210.14,12.181,11.384,142.08,11.98,40,0.99962,7.996,0.98507,69.882,3.7787,2.8492,1.0288,101.8,5.0813,0.082873,1.0193,0.99873,1.0161,3.007,5.0098,1.2033,1.2033,0.0012312,0.0012123,0.12703,0.99918,-7.9679e-05,0.084196,72.143,0.070434,32.993,51.61,0.12611,95.272,0.72459,0.0071052,0.99188,0.99892,84.603,62.1,16.147,0.36139,34.403,5.0813,0.59516,14.999,39.985,-0.042833
20520,0.85252,3.2384,0.00355,15,2108.1,1.0219,209.08,12.517,11.324,141.71,11.914,40,1.0286,7.9159,0.89523,70.893,3.694,2.7911,0.99022,100.71,4.9838,0.0208,0.93866,1.0954,1.3364,2.9493,4.9529,1.2025,1.2025,0.00057421,0.00051636,0.055781,1.0105,-3.6001e-05,0.027796,75.81,0.065742,32.142,51.61,0.12264,97.975,0.7412,0.0066305,0.99384,1.0811,83.752,62.06,15.703,0.35752,34.759,4.9838,0.59018,14.876,39.932,-0.027985
20880,0.84968,3.2261,0.00355,15,2105.1,1.0375,207.79,12.589,11.336,141.61,11.928,40,1.0414,7.88,0.85285,71.059,3.6788,2.7689,0.97349,99.91,4.9427,0.0208,0.92307,1.1381,1.4799,2.9242,4.9295,1.2003,1.2003,0.00030279,0.00034139,0.028622,1.015,5.8595e-05,0.030782,77.435,0.063831,31.627,51.61,0.12125,98.852,0.74427,0.0065521,0.99921,1.1174,83.236,61.948,15.525,0.35468,34.754,4.9428,0.59252,14.865,39.939,0.0021596
21240,0.84773,3.2238,0.00355,15,2106.2,1.0432,206.86,12.563,11.352,141.6,11.946,40,1.0433,7.8721,0.83972,70.948,3.6728,2.7606,0.96754,99.36,4.9267,0.0208,0.92125,1.1444,1.5114,2.9156,4.9231,1.1985,1.1985,0.0003,0.00032118,0.028052,1.0167,3.5212e-05,0.031437,77.665,0.063436,31.29,51.61,0.12088,98.897,0.74548,0.0066044,1.0036,1.1227,82.9,61.857,15.478,0.35273,34.661,4.9267,0.59373,14.874,39.949,0.0033856
21600,0.84617,3.2247,0.00355,15,2107.4,1.0459,206.2,12.535,11.362,141.61,11.956,40,1.0414,7.874,0.8365,70.786,3.6703,2.7575,0.96525,98.923,4.9199,0.0208,0.92076,1.1378,1.5039,2.9129,4.9225,1.1972,1.1972,0.0003,0.00031219,0.027876,1.0175,2.1666e-05,0.031282,77.405,0.063561,31.018,51.61,0.12085,98.681,0.746,0.0066804,1.007,1.1172,82.628,61.788,15.473,0.35117,34.543,4.9199,0.59411,14.881,39.955,0.0034063
21960,0.84493,3.2273,0.00355,15,2108.6,1.0468,205.73,12.509,11.368,141.63,11.962,40,1.0375,7.881,0.83874,70.614,3.6697,2.7571,0.96503,98.573,4.9184,0.0208,0.92068,1.1249,1.4761,2.9134,4.925,1.1962,1.1962,0.0003,0.00030521,0.027771,1.0177,1.184e-05,0.030702,76.902,0.063957,30.793,51.61,0.12099,98.342,0.74611,0.0067614,1.0095,1.1062,82.403,61.737,15.492,0.34993,34.421,4.9184,0.594,14.888,39.959,0.0029318
22320,0.84392,3.2305,0.00355,15,2109.5,1.0467,205.4,12.489,11.371,141.65,11.965,40,1.033,7.8899,0.84343,70.455,3.6701,2.7583,0.96582,98.287,4.9196,0.0208,0.92084,1.11,1.4405,2.9154,4.9289,1.1955,1.1955,0.0003,0.00030022,0.027706,1.0177,5.2274e-06,0.029961,76.322,0.064459,30.602,51.61,0.12121,97.965,0.74602,0.0068364,1.0113,1.0935,82.212,61.701,15.519,0.34892,34.303,4.9196,0.59362,14.892,39.959,0.0022555
22680,0.84306,3.2336,0.00355,15,2110.2,1.0461,205.17,12.474,11.372,141.67,11.965,40,1.0287,7.8988,0.84869,70.319,3.671,2.7599,0.96696,98.046,4.9219,0.0208,0.92114,1.0955,1.4047,2.9177,4.9329,1.1951,1.1951,0.00030169,0.00029692,0.027818,1.0175,9.6964e-07,0.029218,75.763,0.064965,30.434,51.61,0.12144,97.6,0.74584,0.0069001,1.0125,1.0812,82.043,61.677,15.549,0.34806,34.195,4.9219,0.59313,14.895,39.959,0.0014005
23040,0.84222,3.2356,0.00355,15,2110.2,1.0455,204.98,12.471,11.371,141.68,11.963,40,1.0258,7.9043,0.85099,70.241,3.671,2.76,0.96709,97.808,4.9218,0.0208,0.92218,1.0861,1.3829,2.9183,4.9351,1.1947,1.1947,0.00031912,0.00030669,0.029368,1.0174,-4.6725e-06,0.028765,75.398,0.065278,30.258,51.61,0.12154,97.34,0.74585,0.0069366,1.0133,1.0732,81.867,61.659,15.562,0.34722,34.107,4.9218,0.59257,14.894,39.955,-0.00060327
23400,0.84137,3.2368,0.00355,15,2110,1.0455,204.79,12.477,11.369,141.69,11.961,40,1.024,7.9073,0.85105,70.194,3.6703,2.7593,0.96649,97.57,4.9202,0.0208,0.92253,1.0801,1.3708,2.9175,4.9359,1.1944,1.1944,0.00032005,0.00030878,0.029373,1.0174,-4.1686e-06,0.028514,75.164,0.065459,30.08,51.61,0.12156,97.156,0.74598,0.0069587,1.0141,1.0681,81.69,61.643,15.565,0.34637,34.031,4.9202,0.59209,14.891,39.951,-0.00085904
