Time,VAS,VVS,CA,ANT,NAE,ANC,PRP,IFP,VG,CNA,VTS,HM,AUH,POT,ARM,CPP,PVS,BFN,BFM,PA,QLO,NID,AHM,AU,STH2NID,VP,VB,RBF,RFN,VUD,TVD,NOD,ANM,VGD,NID2,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,ANP,AUM,RR,GLP,PFL,VAE,RSN,QAO,VIF,VEC,VTW,NED
1,0.85209,3.263,0.00355,15,2130,0.99996,210,11.996,11.397,141.9,11.994,40,0.99396,7.9937,0.99701,69.903,3.753,2.7864,1.0263,100.59,5.0173,0.125,0.9871,0.97986,1,3.0042,5.0042,1.204,1.204,0.0012817,0.000893,0.12775,1.0042,-0.003723,0.125,71.372,0.070297,31.937,51.61,0.12634,94.355,0.72955,0.0070955,0.9901,0.98288,83.547,62.138,16.176,0.35709,34.754,5.0167,0.59706,15.011,40.012,-0.0027538
1441,0.85268,3.2734,0.00355,15,2130.1,0.98983,208.98,12.046,11.376,142.1,11.969,40,0.99538,7.9965,0.97979,69.475,3.7708,2.8333,1.0229,100.76,5.0561,0.125,1.0205,0.98459,1,3.0079,5.008,1.2,1.2,0.0012083,0.0012222,0.12296,1.0012,1.1744e-05,0.125,71.582,0.070634,32.352,51.61,0.12608,94.818,0.72611,0.0072968,0.99996,0.9869,83.962,61.933,16.143,0.35768,34.231,5.0561,0.59375,14.99,39.973,0.0020372
2881,0.85342,3.2735,0.00355,15,2131.1,0.98914,209.12,12.046,11.381,142.1,11.976,40,0.99587,7.9973,0.98152,69.503,3.7733,2.8369,1.0243,100.96,5.0616,0.125,1.0212,0.98622,1,3.0088,5.0091,1.2004,1.2004,0.0012236,0.001225,0.12493,1.001,6.4858e-07,0.125,71.65,0.070644,32.499,51.61,0.12614,94.885,0.72562,0.0072838,0.99903,0.98829,84.109,61.952,16.151,0.35842,34.259,5.0616,0.59439,14.997,39.98,6.5827e-05
4321,0.85396,3.273,0.00355,15,2131.1,0.98844,209.3,12.063,11.382,142.1,11.977,40,0.99674,7.9966,0.98147,69.566,3.7741,2.839,1.0249,101.11,5.0647,0.125,1.0206,0.98915,1,3.0086,5.009,1.2008,1.2008,0.0012217,0.0012225,0.12498,1.0008,4.2636e-07,0.125,71.765,0.070573,32.594,51.61,0.12612,94.978,0.72548,0.0072541,0.99795,0.99078,84.204,61.974,16.148,0.35896,34.287,5.0647,0.59461,14.998,39.981,1.9356e-05
5761,0.85437,3.2726,0.00355,15,2131.1,0.98777,209.43,12.078,11.383,142.09,11.977,40,0.99744,7.996,0.98142,69.619,3.7746,2.8407,1.0253,101.23,5.0672,0.125,1.0201,0.99147,1,3.0083,5.009,1.2012,1.2012,0.0012198,0.0012204,0.12498,1.0006,3.5389e-07,0.125,71.857,0.070518,32.667,51.61,0.1261,95.05,0.72537,0.0072292,0.99705,0.99275,84.277,61.993,16.145,0.35937,34.307,5.0672,0.59478,14.998,39.982,1.7047e-05
7201,0.85471,3.2723,0.00355,15,2131.1,0.98714,209.54,12.093,11.383,142.09,11.978,40,0.99798,7.9957,0.98144,69.663,3.7751,2.8421,1.0257,101.33,5.0693,0.125,1.0198,0.99326,1,3.008,5.0089,1.2015,1.2015,0.0012184,0.0012188,0.12499,1.0005,2.729e-07,0.125,71.927,0.070478,32.724,51.61,0.12608,95.105,0.72527,0.0072084,0.99629,0.99427,84.334,62.009,16.144,0.35971,34.323,5.0693,0.5949,14.998,39.983,7.696e-06
8641,0.85497,3.2721,0.00355,15,2131.1,0.98657,209.64,12.106,11.383,142.09,11.978,40,0.99839,7.9954,0.98149,69.701,3.7755,2.8433,1.026,101.4,5.0711,0.125,1.0196,0.99465,1,3.0077,5.0089,1.2018,1.2018,0.0012173,0.0012176,0.125,1.0003,2.099e-07,0.125,71.982,0.070449,32.767,51.61,0.12607,95.146,0.7252,0.0071906,0.99563,0.99545,84.377,62.022,16.142,0.35997,34.336,5.0711,0.59499,14.998,39.983,-7.5617e-07
10081,0.85519,3.2719,0.00355,15,2131.1,0.98606,209.71,12.119,11.384,142.09,11.979,40,0.99871,7.9952,0.98158,69.734,3.7759,2.8442,1.0263,101.46,5.0725,0.125,1.0194,0.99571,1,3.0074,5.0089,1.202,1.202,0.0012165,0.0012166,0.12501,1.0002,1.6107e-07,0.125,72.024,0.070429,32.801,51.61,0.12606,95.178,0.72513,0.0071753,0.99506,0.99636,84.411,62.034,16.141,0.36019,34.345,5.0725,0.59505,14.998,39.983,-7.688e-06
11521,0.85536,3.2718,0.00355,15,2131.1,0.9856,209.78,12.131,11.384,142.09,11.979,40,0.99896,7.9951,0.98169,69.762,3.7762,2.845,1.0266,101.51,5.0738,0.125,1.0193,0.99654,1,3.007,5.0089,1.2022,1.2022,0.0012158,0.0012159,0.12501,1,1.2317e-07,0.125,72.056,0.070414,32.827,51.61,0.12605,95.202,0.72508,0.007162,0.99456,0.99706,84.437,62.045,16.14,0.36036,34.352,5.0738,0.5951,14.998,39.984,-1.318e-05
12961,0.8555,3.2717,0.00355,15,2131.1,0.98519,209.83,12.142,11.384,142.09,11.979,40,0.99915,7.9951,0.98182,69.787,3.7764,2.8457,1.0268,101.55,5.0749,0.125,1.0192,0.99718,1,3.0067,5.0089,1.2024,1.2024,0.0012154,0.0012154,0.12502,0.9999,9.3767e-08,0.125,72.081,0.070405,32.848,51.61,0.12605,95.22,0.72503,0.0071503,0.99411,0.9976,84.458,62.054,16.139,0.3605,34.358,5.0749,0.59512,14.998,39.984,-1.7443e-05
