Time,VAS,VVS,CA,ANT,NAE,ANC,PRP,IFP,VG,CNA,VTS,HM,AUH,POT,ARM,CPP,PVS,BFN,BFM,PA,QLO,NID,AHM,AU,STH2NID,VP,VB,RBF,RFN,VUD,TVD,NOD,ANM,VGD,NID2,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,ANP,AUM,RR,GLP,PFL,VAE,RSN,QAO,VIF,VEC,VTW,NED
1,0.85209,3.263,0.00355,15,2130,0.99996,210,11.996,11.397,141.89,11.994,40,0.99396,7.9937,0.99701,69.903,3.753,2.7864,1.0263,100.59,5.0173,0.1,0.98707,0.97986,1.0252,3.0042,5.0042,1.204,1.204,0.0012817,0.0008927,0.12775,1.0042,-0.0037293,0.10252,71.372,0.070297,31.937,51.61,0.12634,94.355,0.72955,0.0070955,0.9901,0.98288,83.547,62.138,16.176,0.35709,34.754,5.0167,0.59705,15.011,40.012,-0.025228
1441,0.85107,3.2664,0.00355,15,2126.4,1.0005,208.27,12.096,11.372,142.03,11.966,40,1.0006,7.9799,0.95766,69.567,3.7501,2.8187,1.0127,100.3,5.0301,0.1,0.99904,1.0019,1.0802,2.9938,4.9949,1.1987,1.1987,0.0010554,0.0010699,0.10563,1.0043,1.3739e-05,0.10802,72.23,0.069641,32.061,51.61,0.12527,95.337,0.73011,0.0072535,1.0032,1.0016,83.671,61.867,16.04,0.35607,34.254,5.0301,0.59336,14.972,39.968,0.0023869
2881,0.85108,3.2672,0.00355,15,2127.4,1.0003,208.23,12.095,11.378,142.03,11.972,40,0.99992,7.9824,0.95867,69.55,3.7526,2.8213,1.0134,100.3,5.0334,0.1,0.99989,0.99973,1.0704,2.994,4.9963,1.1988,1.1988,0.001069,0.0010693,0.10706,1.0043,4.93e-07,0.10704,72.149,0.069764,32.062,51.61,0.12534,95.278,0.72962,0.0072614,1.0031,0.99977,83.672,61.869,16.049,0.35608,34.223,5.0334,0.59378,14.979,39.974,-1.4055e-05
4321,0.85107,3.2674,0.00355,15,2127.3,0.99978,208.29,12.113,11.379,142.03,11.972,40,0.99989,7.9832,0.95822,69.586,3.7536,2.8228,1.0134,100.3,5.0353,0.1,0.9999,0.99963,1.0673,2.9932,4.9967,1.199,1.199,0.0010666,0.0010663,0.10681,1.0041,1.1781e-07,0.10673,72.147,0.069792,32.043,51.61,0.12533,95.269,0.72943,0.0072448,1.0024,0.99969,83.653,61.882,16.047,0.35607,34.203,5.0353,0.59379,14.978,39.974,-7.2533e-05
5761,0.85107,3.2676,0.00355,15,2127.2,0.99926,208.33,12.131,11.379,142.03,11.972,40,0.99988,7.9838,0.95784,69.619,3.7545,2.8241,1.0135,100.3,5.0369,0.1,0.99989,0.99961,1.0649,2.9924,4.9969,1.1993,1.1993,0.0010641,0.0010637,0.10656,1.004,8.9504e-08,0.10649,72.147,0.069814,32.026,51.61,0.12532,95.262,0.72926,0.007229,1.0019,0.99967,83.636,61.894,16.046,0.35607,34.186,5.0369,0.59379,14.977,39.974,-7.0754e-05
7201,0.85107,3.2677,0.00355,15,2127.1,0.99875,208.37,12.148,11.379,142.03,11.973,40,0.99988,7.9843,0.95755,69.65,3.7552,2.8252,1.0135,100.3,5.0382,0.1,0.99988,0.9996,1.0627,2.9916,4.9971,1.1995,1.1995,0.0010619,0.0010614,0.10634,1.0038,7.0041e-08,0.10627,72.147,0.069833,32.011,51.61,0.12531,95.256,0.72912,0.0072144,1.0013,0.99966,83.621,61.905,16.044,0.35607,34.173,5.0382,0.59378,14.977,39.973,-7.0749e-05
8641,0.85107,3.2678,0.00355,15,2127,0.99827,208.4,12.165,11.379,142.03,11.973,40,0.99988,7.9848,0.95733,69.679,3.7559,2.8262,1.0136,100.3,5.0395,0.1,0.99987,0.99959,1.0609,2.9908,4.9973,1.1997,1.1997,0.00106,0.0010595,0.10616,1.0037,5.4233e-08,0.10609,72.148,0.069849,31.998,51.61,0.1253,95.25,0.72899,0.0072009,1.0008,0.99965,83.608,61.915,16.043,0.35607,34.161,5.0395,0.59376,14.976,39.972,-7.145e-05
10081,0.85108,3.2679,0.00355,15,2126.9,0.99781,208.42,12.18,11.379,142.03,11.973,40,0.99987,7.9852,0.95718,69.705,3.7564,2.827,1.0137,100.3,5.0406,0.1,0.99986,0.99958,1.0594,2.9901,4.9975,1.1998,1.1998,0.0010584,0.0010579,0.10601,1.0036,4.1319e-08,0.10594,72.148,0.069864,31.987,51.61,0.12529,95.244,0.72888,0.0071885,1.0004,0.99964,83.597,61.924,16.042,0.35608,34.152,5.0406,0.59374,14.975,39.972,-7.2198e-05
11521,0.85109,3.268,0.00355,15,2126.8,0.99739,208.44,12.194,11.379,142.03,11.973,40,0.99987,7.9855,0.95707,69.73,3.7569,2.8277,1.0138,100.31,5.0415,0.1,0.99985,0.99958,1.058,2.9893,4.9977,1.2,1.2,0.001057,0.0010565,0.10588,1.0034,3.0766e-08,0.1058,72.148,0.069877,31.977,51.61,0.12528,95.239,0.72879,0.007177,0.99995,0.99964,83.587,61.933,16.041,0.35609,34.144,5.0415,0.59372,14.975,39.971,-7.2787e-05
12961,0.8511,3.268,0.00355,15,2126.7,0.997,208.46,12.208,11.379,142.03,11.973,40,0.99987,7.9858,0.95701,69.753,3.7573,2.8283,1.0138,100.31,5.0423,0.1,0.99984,0.99957,1.0569,2.9886,4.9978,1.2002,1.2002,0.0010557,0.0010553,0.10576,1.0033,2.2157e-08,0.10569,72.149,0.069888,31.969,51.61,0.12527,95.235,0.72871,0.0071662,0.99955,0.99964,83.579,61.941,16.04,0.3561,34.137,5.0423,0.59369,14.974,39.97,-7.3171e-05
14401,0.85111,3.2681,0.00355,15,2126.6,0.99663,208.47,12.221,11.379,142.03,11.973,40,0.99987,7.986,0.95698,69.774,3.7577,2.8289,1.0139,100.31,5.0431,0.1,0.99983,0.99958,1.0559,2.9878,4.9979,1.2003,1.2003,0.0010547,0.0010542,0.10567,1.0032,1.5157e-08,0.10559,72.149,0.069898,31.961,51.61,0.12527,95.231,0.72863,0.0071562,0.99917,0.99964,83.571,61.949,16.039,0.35611,34.132,5.0431,0.59366,14.973,39.969,-7.3359e-05
15841,0.85113,3.2682,0.00355,15,2126.5,0.99628,208.48,12.234,11.379,142.03,11.973,40,0.99987,7.9862,0.95698,69.794,3.758,2.8293,1.014,100.32,5.0438,0.1,0.99982,0.99958,1.0551,2.9871,4.9981,1.2005,1.2005,0.0010537,0.0010532,0.10558,1.0031,9.4913e-09,0.10551,72.15,0.069907,31.955,51.61,0.12526,95.228,0.72857,0.0071469,0.99882,0.99964,83.565,61.956,16.039,0.35613,34.128,5.0438,0.59363,14.972,39.969,-7.3378e-05
