Time,VAS,VVS,CA,ANT,NAE,ANC,PRP,IFP,VG,CNA,VTS,HM,AUH,POT,ARM,CPP,PVS,BFN,BFM,PA,QLO,NID,AHM,AU,STH2NID,VP,VB,RBF,RFN,VUD,TVD,NOD,ANM,VGD,NID2,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,ANP,AUM,RR,GLP,PFL,VAE,RSN,QAO,VIF,VEC,VTW,NED
0,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.012,40.013,0.0043538
1.5857e-20,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.012,40.013,0.0043538
1.5857e-20,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.012,40.013,0.0043538
5.4484e-16,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.013,40.013,0.0043538
5.4484e-16,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.013,40.013,0.0043538
7.4099e-16,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.013,40.013,0.0043538
7.4099e-16,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.013,40.013,0.0043538
4.5245e-14,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.013,40.013,0.0043538
4.5245e-14,0.85,3.25,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6485,2.7095,0.99732,100,5.05,0.1,0.99215,1,1.032,3,5,1.2012,1.2012,0.00099222,0.000951,0.098846,1.0042,4.7649e-05,0.1032,72,0.070139,31.639,51.61,0.12492,96.61,0.75045,0.00705,0.99698,1,83.249,61.994,15.994,0.355,35.56,4.9081,0.6,15.013,40.013,0.0043538
0.00094197,0.85013,3.2501,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,70,3.6493,2.7114,0.99806,100.04,5.0511,0.1,0.99215,1,1.032,3,5,1.2016,1.2016,0.0010276,0.00095094,0.10237,1.0042,3.4874e-05,0.1032,72.011,0.070143,31.64,51.61,0.12509,96.575,0.75027,0.0070501,0.99589,1,83.25,62.017,16.017,0.35513,35.549,4.9111,0.59999,15.012,40.012,0.00082933
0.0050573,0.85068,3.2504,0.00355,15,2130,1,210,12,11.4,141.88,12,40,1,7.992,1,69.999,3.6533,2.7193,1.0012,100.19,5.0521,0.1,0.99212,1,1.032,3,5,1.2035,1.2035,0.0011765,0.00095069,0.11721,1.0042,-1.9461e-05,0.1032,72.024,0.070144,31.642,51.61,0.12584,96.421,0.74946,0.0070504,0.99132,1,83.252,62.112,16.112,0.35568,35.502,4.924,0.59996,15.012,40.012,-0.014012
0.011243,0.8514,3.2509,0.00355,15,2130,1,210,12,11.4,141.88,12,40,0.99991,7.992,1,69.998,3.6592,2.7302,1.0056,100.4,5.0462,0.1,0.99209,0.9997,1.0319,3.0001,5.0001,1.206,1.206,0.0013755,0.00095032,0.13703,1.0042,-9.6884e-05,0.10319,72.018,0.070068,31.64,51.61,0.12683,96.198,0.74826,0.0070508,0.98526,0.99975,83.25,62.239,16.24,0.3564,35.432,4.9418,0.59991,15.012,40.012,-0.033842
0.0163,0.85188,3.2514,0.00355,15,2130,1,210,12,11.4,141.88,12,40,0.99977,7.992,1,69.998,3.6638,2.738,1.0087,100.53,5.0378,0.1,0.99207,0.99925,1.0319,3.0001,5.0001,1.2076,1.2076,0.0015108,0.00095001,0.1505,1.0042,-0.00015677,0.10319,72.007,0.069962,31.636,51.61,0.12751,96.03,0.74732,0.0070511,0.98118,0.99936,83.246,62.325,16.326,0.35688,35.379,4.9543,0.59987,15.012,40.012,-0.047316
