Time,ANC,PA,QLO,NID,REK,AU,VB,VUD,HR,VEC
-66.438,1.0017,100.5,5.0505,0.1,1,0.99917,4.9936,0.0010137,72.01,15.062
23.562,1.0017,100.5,5.0504,0.1,1,0.9992,4.9935,0.0010137,72.011,15.062
113.56,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
116.26,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
118.96,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.14,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.31,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.42,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.53,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.59,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.65,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.96,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.96,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.97,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.99,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.99,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
119.99,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
120,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
120,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
120,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
120,1.0016,100.5,5.0503,0.1,1,0.99922,4.9935,0.0010137,72.012,15.062
120,1.0016,100.51,5.0503,0.1,0.3,0.99922,4.9935,0.00030429,72.012,15.062
120,1.0016,100.51,5.0503,0.1,0.3,0.99922,4.9935,0.00030429,72.012,15.062
120,1.0016,100.52,5.0502,0.1,0.3,0.99922,4.9935,0.00030457,72.012,15.062
120,1.0016,100.56,5.05,0.1,0.3,0.99922,4.9935,0.000306,72.012,15.062
120,1.0016,100.76,5.0487,0.1,0.3,0.99919,4.9935,0.00031306,72.006,15.062
120,1.0014,101.54,5.043,0.1,0.3,0.99862,4.9935,0.00034116,71.945,15.062
120,1.0014,101.54,5.043,0.1,0.3,0.99862,4.9935,0.00034116,71.945,15.062
120.01,1.0012,102.41,5.0344,0.1,0.3,0.99707,4.9935,0.00037377,71.816,15.062
120.02,1.0007,103.98,5.0062,0.1,0.3,0.99106,4.9935,0.00043889,71.448,15.062
120.03,0.99999,105.59,4.9361,0.1,0.3,0.97667,4.9934,0.00052231,70.773,15.062
120.05,0.99901,106.28,4.8296,0.1,0.3,0.95479,4.9932,0.00059134,69.89,15.062
120.07,0.99801,105.9,4.7432,0.1,0.3,0.93489,4.993,0.00062034,69.147,15.062
120.1,0.9965,104.6,4.6764,0.1,0.3,0.91414,4.9928,0.00061778,68.405,15.062
120.14,0.99464,103.21,4.6702,0.1,0.3,0.90374,4.9925,0.00058816,68.046,15.062
120.16,0.99378,102.85,4.6803,0.1,0.3,0.90286,4.9924,0.00057599,68.017,15.062
120.16,0.99378,102.85,4.6803,0.1,0.3,0.90286,4.9924,0.00057599,68.017,15.062
120.2,0.99194,102.54,4.7015,0.1,0.3,0.9041,4.9922,0.00056136,68.062,15.062
