T,NID,NOD,NAE,PA,QLO,QAO,HR,VB,VP,VEC,VTS,CNA,TVD,VTW,REK,NED,AAR,BFM,BFN,CPP,DLP,GFR,GLP,HM,IFP,PFL,PRP,PVS,RBF,RFN,RR,RSM,RSN,SVO,VAE,VAS,VG,VIF,VUD,AU,AUH,AUM,VVS,ARM,STH,VGD,ANC,ANM,ANT,ANU,ANP
1,0.1,0.10389,2136.3,99.723,5.1494,5.115,71.735,5.0066,2.9627,15.041,12.066,142.03,0.0010071,40.026,1,-0.0038909,31.961,0.99031,2.9417,70.108,0.0069991,0.12512,62.044,40.824,9.1479,16.001,207.71,3.7957,1.1789,1.1789,84.59,96.867,32.61,0.071784,0.35401,0.84901,11.512,0.55358,0.0010301,0.98876,0.99663,0.99044,3.276,0.89549,1,0.99598,1.003,15,1.003,0.99571,1.4235e-33
1441,0.1,0.10008,2136.7,99.816,5.1255,5.1194,71.898,5.0016,2.9584,15.046,12.075,142.01,0.00090695,40.042,1,-7.9492e-05,31.974,0.98907,2.9514,70.208,0.0069524,0.12496,62.102,40.841,9.1454,16.019,207.77,3.7778,1.1795,1.1795,84.623,97.099,32.54,0.071289,0.35435,0.84935,11.52,0.55401,0.0010018,0.99408,0.99823,0.99497,3.2713,0.88268,1,1.0074,1.0063,15,1.0063,1.0081,1.4235e-33
2881,0.1,0.10093,2137,99.887,5.1269,5.1269,71.919,5.002,2.9606,15.051,12.077,141.99,0.00087875,40.046,1,-0.00092718,32.025,0.99086,2.956,70.213,0.0069499,0.12499,62.094,40.814,9.1361,16.009,207.86,3.7795,1.1801,1.1801,84.642,96.993,32.512,0.071287,0.3546,0.8496,11.522,0.55549,0.0010104,0.99459,0.99838,0.9954,3.2713,0.88269,1,1.0096,1.0069,15,1.007,1.0092,1.4235e-33
4321,0.1,0.097788,2137.5,99.841,5.1245,5.1244,72.007,5.0014,2.961,15.051,12.078,142.02,0.00096374,40.044,1,0.002212,31.986,0.98911,2.9548,70.234,0.0069402,0.1249,62.083,40.796,9.1279,15.99,207.97,3.7807,1.1804,1.1804,84.581,97.118,32.51,0.071166,0.35443,0.84943,11.522,0.55531,0.00098053,0.99683,0.99905,0.99731,3.2709,0.88014,1,1.0123,1.0077,15,1.0077,1.0126,1.4235e-33
5761,0.1,0.10001,2137.9,99.964,5.1297,5.1319,71.994,5.0024,2.9632,15.055,12.079,142.01,0.00095117,40.05,1,-7.89e-06,32.064,0.9914,2.9591,70.215,0.0069488,0.12499,62.086,40.764,9.1175,16,208.07,3.7822,1.1813,1.1813,84.621,97.016,32.504,0.071252,0.35487,0.84987,11.524,0.55551,0.0010014,0.99644,0.99893,0.99698,3.2714,0.88283,1,1.0101,1.0071,15,1.0071,1.0099,1.4235e-33
7201,0.1,0.1004,2138.1,100.01,5.1352,5.1365,72.019,5.003,2.965,15.058,12.08,141.99,0.00089801,40.058,1,-0.00039667,32.094,0.99256,2.962,70.207,0.0069526,0.12501,62.079,40.736,9.1089,15.996,208.17,3.7844,1.1819,1.1819,84.617,96.948,32.488,0.071304,0.35504,0.85004,11.524,0.55579,0.0010081,0.99704,0.99911,0.99749,3.2718,0.88361,1,1.0087,1.0067,15,1.0067,1.0083,1.4235e-33
8641,0.1,0.10098,2138.5,100.06,5.1375,5.1405,72.014,5.0038,2.9667,15.059,12.081,142.01,0.00089864,40.062,1,-0.00097597,32.114,0.99398,2.9638,70.193,0.0069593,0.12505,62.081,40.706,9.0986,16.003,208.28,3.7864,1.1828,1.1828,84.602,96.861,32.484,0.07134,0.35523,0.85023,11.525,0.55542,0.001015,0.99685,0.99905,0.99732,3.2723,0.8853,1,1.0056,1.0058,15,1.0058,1.0055,1.4235e-33
10081,0.1,0.099289,2138.8,100.04,5.1459,5.1442,72.066,5.0044,2.9686,15.061,12.08,142.01,0.00093263,40.063,1,0.00071101,32.078,0.99442,2.9663,70.188,0.0069617,0.125,62.076,40.679,9.093,16,208.37,3.7901,1.1834,1.1834,84.533,96.786,32.447,0.071405,0.35513,0.85013,11.524,0.55575,0.00099957,0.99805,0.99941,0.99834,3.2728,0.88439,1,1.003,1.005,15,1.005,1.0028,1.4235e-33
11521,0.1,0.1009,2139.2,100.15,5.1616,5.155,72.059,5.0062,2.971,15.064,12.082,142.01,0.00090652,40.07,1,-0.00089631,32.105,0.99751,2.9734,70.151,0.0069793,0.12508,62.105,40.642,9.0841,16.045,208.47,3.7958,1.185,1.185,84.516,96.593,32.405,0.071629,0.35553,0.85053,11.526,0.55617,0.001017,0.99739,0.99922,0.99778,3.2739,0.88645,1,0.99845,1.0037,15,1.0037,0.99844,1.4235e-33
12961,0.1,0.099431,2139.4,100.08,5.1525,5.1527,72.073,5.0058,2.9723,15.066,12.081,142,0.00091621,40.072,1,0.00056866,32.085,0.99657,2.9713,70.172,0.0069693,0.12503,62.069,40.623,9.0769,16,208.57,3.7952,1.1848,1.1848,84.473,96.619,32.406,0.07149,0.3553,0.8503,11.525,0.55594,0.0010049,0.99803,0.99941,0.99832,3.2739,0.88601,1,0.99891,1.0039,15,1.0038,0.9989,1.4235e-33
