Time,VAS,VVS,NID,CA,NAE,PRP,IFP,VG,CNA,VTS,HM,AUH,POT,ARM,CPP,PVS,BFN,BFM,PA,QLO,AU,STH2NID,VP,VB,RBF,RFN,TVD,NOD,VGD,NID2,HR,SVO,AAR,EVR,GFR,RSM,RVG,DLP,AUM,RR,GLP,PFL,VUD,VAE,RSN,QAO,VIF,VEC,VTW
1,0.85188,3.2606,0.1,0.00355,2130,210,12,11.399,141.89,11.999,40,0.99861,7.9928,0.96573,69.992,3.7635,2.8263,1.0176,100.53,5.0565,0.99538,1.0287,3.0003,5.0003,1.2096,1.2096,0.00083455,0.16429,-0.0007533,0.10287,71.995,0.070234,31.497,51.61,0.12834,95.096,0.72751,0.0070535,0.99607,83.107,62.43,16.433,0.0016486,0.35688,34.237,5.0535,0.59934,15.011,40.012
1441,0.84994,3.2701,0.1,0.00355,2130.9,209.38,12.032,11.387,142.09,11.983,40,1.0006,7.999,0.93731,69.777,3.7731,2.8602,1.011,99.984,5.0709,1.002,1.0041,3.0008,5.0009,1.1997,1.1997,0.001012,0.10061,3.2925e-06,0.10041,72.267,0.070169,31.73,51.61,0.12501,95.166,0.72567,0.0071548,1.0017,83.34,61.917,16.006,0.0010002,0.35494,33.637,5.0709,0.59666,14.997,39.98
2881,0.84989,3.2702,0.1,0.00355,2130.5,209.37,12.037,11.388,142.05,11.985,40,1.0004,7.9992,0.93637,69.772,3.7727,2.86,1.0105,99.969,5.0701,1.0014,1.0033,3.0007,5.0009,1.1997,1.1997,0.0010085,0.10059,1.6538e-07,0.10033,72.244,0.07018,31.718,51.61,0.12502,95.2,0.72573,0.007157,1.0012,83.328,61.916,16.007,0.0010053,0.35489,33.635,5.0701,0.59671,14.998,39.989
4321,0.84983,3.2702,0.1,0.00355,2130.3,209.39,12.047,11.388,142.04,11.985,40,1.0003,7.9993,0.93594,69.783,3.7726,2.8598,1.0102,99.953,5.0698,1.0012,1.0029,3.0006,5.0008,1.1998,1.1998,0.0010065,0.10041,-8.1685e-08,0.10029,72.233,0.070188,31.701,51.61,0.12501,95.207,0.72576,0.0071522,1.001,83.311,61.92,16.007,0.0010055,0.35483,33.631,5.0698,0.59664,14.998,39.992
5761,0.84979,3.2703,0.1,0.00355,2130.1,209.42,12.058,11.388,142.03,11.985,40,1.0003,7.9994,0.93585,69.793,3.7725,2.8597,1.0101,99.94,5.0697,1.0009,1.0025,3.0006,5.0009,1.1998,1.1998,0.0010055,0.1003,-9.4482e-08,0.10025,72.222,0.070196,31.685,51.61,0.12501,95.202,0.72577,0.0071471,1.0008,83.295,61.923,16.006,0.0010053,0.35479,33.628,5.0697,0.59657,14.998,39.993
7201,0.84976,3.2703,0.1,0.00355,2130.1,209.46,12.068,11.388,142.03,11.984,40,1.0002,7.9995,0.9359,69.804,3.7725,2.8596,1.0101,99.931,5.0697,1.0007,1.0021,3.0006,5.0009,1.1999,1.1999,0.001005,0.10024,-8.7209e-08,0.10021,72.212,0.070205,31.672,51.61,0.12501,95.195,0.72578,0.0071422,1.0006,83.282,61.927,16.006,0.001005,0.35476,33.626,5.0697,0.5965,14.998,39.993
8641,0.84973,3.2704,0.1,0.00355,2130,209.49,12.077,11.388,142.03,11.984,40,1.0001,7.9995,0.93601,69.814,3.7725,2.8595,1.0101,99.925,5.0697,1.0005,1.0018,3.0006,5.0009,1.2,1.2,0.0010046,0.1002,-7.8668e-08,0.10018,72.204,0.070213,31.662,51.61,0.125,95.187,0.72577,0.0071374,1.0004,83.272,61.931,16.006,0.0010047,0.35473,33.625,5.0697,0.59643,14.997,39.993
10081,0.84972,3.2704,0.1,0.00355,2130,209.52,12.086,11.388,142.03,11.984,40,1.0001,7.9996,0.93615,69.824,3.7725,2.8595,1.0102,99.921,5.0697,1.0003,1.0016,3.0007,5.001,1.2001,1.2001,0.0010043,0.10017,-7.0863e-08,0.10016,72.198,0.07022,31.654,51.61,0.125,95.18,0.72577,0.0071325,1.0002,83.263,61.935,16.005,0.0010044,0.35472,33.625,5.0697,0.59637,14.997,39.993
11521,0.84971,3.2704,0.1,0.00355,2130,209.55,12.095,11.388,142.03,11.984,40,1,7.9997,0.9363,69.835,3.7726,2.8594,1.0102,99.919,5.0698,1.0002,1.0014,3.0007,5.001,1.2001,1.2001,0.001004,0.10015,-6.402e-08,0.10014,72.192,0.070226,31.647,51.61,0.125,95.174,0.72577,0.0071278,1.0001,83.257,61.939,16.005,0.0010041,0.35471,33.625,5.0698,0.59631,14.997,39.992
12961,0.84971,3.2705,0.1,0.00355,2130,209.58,12.103,11.388,142.03,11.984,40,1,7.9997,0.93645,69.845,3.7726,2.8594,1.0103,99.919,5.0699,1,1.0012,3.0007,5.0011,1.2002,1.2002,0.0010038,0.10013,-5.808e-08,0.10012,72.188,0.070231,31.641,51.61,0.125,95.169,0.72576,0.0071231,1,83.251,61.943,16.005,0.0010039,0.35471,33.625,5.0699,0.59626,14.997,39.992
