Time,VTS,QAO,PA,NAE,CNA,NED,VEC,HR,QLO,NID,VP,REK,VB,NOD,TVD
1,11.989,5.0054,103.14,2128.9,142,-0.0015148,14.992,72.217,4.9974,0.1,2.9917,1,4.9917,0.10151,0.00096867
1441,11.951,4.1918,98.447,2076,140.31,-0.029253,14.796,86.546,4.1919,0.1,2.8325,1,4.8319,0.12925,0.0019398
2881,11.931,3.9199,94.797,2054.2,139.77,-0.0052595,14.697,87.042,3.9198,0.1,2.754,1,4.7518,0.10526,0.0021022
4321,11.942,4.0376,90.18,2051.9,139.41,0.00073119,14.719,82.041,4.0376,0.1,2.7655,1,4.7616,0.099269,0.0020067
5761,11.962,4.2535,86.022,2055.8,139.15,0.0049981,14.774,77.014,4.2535,0.1,2.8005,1,4.7952,0.095002,0.001803
7201,12.002,4.595,81.932,2070.8,139.2,0.021035,14.876,71.964,4.595,0.1,2.8623,1,4.8558,0.078965,0.0013382
8641,12.001,4.8651,83.484,2105.7,140.69,-0.012022,14.967,67.901,4.8651,0.1,2.9544,1,4.9475,0.11202,0.0010388
10081,12.003,4.772,83.543,2088.6,139.72,-0.0017757,14.948,70.713,4.772,0.1,2.9331,1,4.9257,0.10178,0.0010927
11521,12.005,4.8332,83.811,2096.2,140.04,-0.0039778,14.969,70.36,4.8332,0.1,2.9522,1,4.9445,0.10398,0.00094334
12961,12.008,4.7916,84.083,2091.6,139.73,-0.0061439,14.969,71.461,4.7916,0.1,2.9483,1,4.9403,0.10614,0.0010423
14401,12.01,4.7418,83.854,2085.1,139.44,-0.0021786,14.954,72.324,4.7418,0.1,2.9317,1,4.9233,0.10218,0.0010862
15841,12.027,4.786,83.176,2092.5,139.72,0.018318,14.976,72.059,4.786,0.1,2.937,1,4.9282,0.081682,0.00095805
17281,12.008,4.8387,84.323,2098.4,139.98,-0.0075357,14.991,71.05,4.8387,0.1,2.9712,1,4.9622,0.10754,0.00097969
18721,12.002,4.7167,84.328,2081.2,139.18,-0.015607,14.953,72.758,4.7167,0.1,2.9401,1,4.9309,0.11561,0.0011669
20160,11.936,4.1629,87.659,2049.6,138.82,-0.012789,14.765,79.262,4.1629,0.1,2.8165,1,4.8067,0.11279,0.0017939
20520,11.859,3.7151,92.16,2022.2,138.76,-0.057662,14.573,87.068,3.7152,0.0208,2.7024,1,4.6922,0.078462,0.0016094
20880,11.861,3.3783,95.339,2007,138.8,-0.031258,14.46,96.376,3.3784,0.0208,2.5868,1,4.5761,0.052058,0.001627
21240,11.867,3.2209,96.113,1997.9,138.76,-0.020306,14.399,101.66,3.2209,0.0208,2.5196,1,4.5081,0.041106,0.0015979
21600,11.871,3.134,95.975,1991.8,138.7,-0.014156,14.361,104.15,3.134,0.0208,2.4783,1,4.466,0.034956,0.0015745
21960,11.874,3.0814,95.454,1987.4,138.62,-0.010443,14.337,105.09,3.0814,0.0208,2.451,1,4.4377,0.031243,0.001565
22320,11.876,3.0518,94.721,1984.1,138.55,-0.0080833,14.321,105.03,3.0518,0.0208,2.4332,1,4.419,0.028883,0.0015634
22680,11.877,3.0366,93.903,1981.5,138.47,-0.0064657,14.31,104.4,3.0366,0.0208,2.4214,1,4.4062,0.027266,0.0015661
23040,11.878,3.0309,93.067,1979.4,138.39,-0.0052994,14.303,103.47,3.0309,0.0208,2.4134,1,4.3972,0.026099,0.0015712
23400,11.879,3.0316,92.248,1977.7,138.31,-0.0044212,14.298,102.39,3.0316,0.0208,2.4079,1,4.3907,0.025221,0.0015779
23760,11.879,3.0369,91.466,1976.2,138.24,-0.0037407,14.295,101.25,3.0369,0.0208,2.4041,1,4.3859,0.024541,0.0015856
24120,11.88,3.0454,90.73,1975,138.18,-0.0031962,14.293,100.12,3.0454,0.0208,2.4015,1,4.3823,0.023996,0.001594
24480,11.88,3.0562,90.046,1973.9,138.11,-0.0027508,14.292,99.02,3.0562,0.0208,2.3996,1,4.3794,0.023551,0.0016029
24840,11.881,3.0688,89.413,1973,138.06,-0.0023792,14.291,97.975,3.0688,0.0208,2.3984,1,4.3771,0.023179,0.0016122
25200,11.881,3.0826,88.83,1972.2,138,-0.0020629,14.291,96.995,3.0826,0.0208,2.3975,1,4.3753,0.022863,0.0016217
25560,11.882,3.0972,88.295,1971.5,137.96,-0.0017897,14.291,96.084,3.0972,0.0208,2.3969,1,4.3737,0.02259,0.0016315
25920,11.883,3.1124,87.804,1970.9,137.91,-0.0015508,14.291,95.243,3.1124,0.0208,2.3966,1,4.3724,0.022351,0.0016414
